,aoa_perc_known_lem
0,0.995
1,1.0
2,0.99
3,0.9975
4,0.9428571428571428
5,0.995
6,1.0
7,1.0
8,0.96875
9,1.0
10,0.988
11,1.0
12,1.0
13,1.0
14,0.93
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,0.9933333333333332
21,0.9518181818181816
22,1.0
23,1.0
24,1.0
25,1.0
26,0.9875
27,1.0
28,0.9853846153846154
29,0.98625
30,0.996875
31,0.84
32,0.8457142857142858
33,1.0
34,1.0
35,1.0
36,0.9976190476190476
37,0.998
38,1.0
39,0.8983333333333334
40,1.0
41,0.9944444444444444
42,0.9945454545454544
43,0.9627777777777776
44,1.0
45,0.9795652173913044
46,1.0
47,1.0
48,1.0
49,1.0
50,1.0
51,0.9833333333333334
52,0.9342857142857144
53,1.0
54,1.0
55,0.9972727272727272
56,0.996153846153846
57,0.9945454545454544
58,1.0
59,0.9785714285714284
60,1.0
61,0.983125
62,1.0
63,1.0
64,0.9822222222222222
65,1.0
66,0.956
67,1.0
68,1.0
69,1.0
70,0.9852941176470588
71,0.995
72,0.9738461538461538
73,0.9833333333333334
74,0.966923076923077
75,0.99
76,1.0
77,1.0
78,0.9833333333333334
79,0.9925
80,1.0
81,0.98625
82,0.9933333333333332
83,0.995
84,1.0
85,1.0
86,1.0
87,0.972
88,1.0
89,0.9835
90,0.9900131006446491
91,1.0
92,1.0
93,0.9766666666666666
94,0.935
95,1.0
96,1.0
97,1.0
98,1.0
99,0.9933333333333334
