,conc_mean_score
0,3.419166666666668
1,2.70125
2,3.3525
3,3.7038461538461536
4,3.63
5,3.0039999999999996
6,3.3663636363636362
7,2.7125
8,3.984444444444444
9,4.226666666666667
10,2.5557142857142856
11,4.0
12,3.031333333333333
13,3.7475
14,3.2825
15,3.7975
16,3.2886666666666664
17,4.1875
18,3.2828000000000004
19,3.39
20,3.407
21,3.604000000000001
22,3.3800000000000003
23,4.0966666666666685
24,2.712857142857143
25,4.1328571428571435
26,3.9925
27,3.24
28,3.922
29,3.13125
30,2.822941176470588
31,4.28
32,3.41
33,3.683333333333333
34,3.5861538461538465
35,3.478
36,2.7516666666666665
37,3.3034615384615384
38,2.83
39,3.145
40,3.4539999999999997
41,3.791111111111112
42,3.1527272727272733
43,2.8682352941176474
44,3.666153846153847
45,3.506521739130435
46,3.3716666666666666
47,4.08375
48,2.5410000000000004
49,4.38
50,3.746666666666668
51,3.1
52,2.086666666666667
53,2.9
54,3.52
55,3.450909090909091
56,3.7584615384615385
57,2.8445454545454543
58,3.46875
59,3.755
60,3.15
61,3.2
62,2.7825
63,3.1966666666666668
64,2.928888888888889
65,3.702
66,3.937777777777778
67,2.72
68,3.59
69,2.6825
70,3.1355555555555554
71,2.846
72,3.8261538461538462
73,3.2366666666666664
74,3.907
75,3.9133333333333327
76,3.19
77,3.154
78,3.1266666666666665
79,3.2566666666666664
80,3.964
81,3.56
82,2.9472727272727277
83,3.5180000000000002
84,3.0
85,3.5
86,3.3825000000000003
87,2.758
88,3.84
89,3.5585
90,3.38160051992497
91,3.37
92,3.4154545454545464
93,3.665625
94,3.659
95,4.23
96,3.655384615384615
97,3.07
98,3.185
99,3.4799999999999995
