,conc_subtlex_score
0,12956.5
1,330.75
2,11050.0
3,11673.807692307693
4,7806.857142857143
5,26616.5
6,10611.727272727272
7,7649.666666666668
8,4319.777777777777
9,902.0
10,10212.57142857143
11,43931.0
12,3171.0
13,3326.75
14,1815.0
15,2289.5
16,13355.133333333333
17,771.5
18,8347.6
19,666.875
20,11144.2
21,3037.5
22,4132.916666666667
23,4162.88888888889
24,8742.75
25,4140.714285714285
26,13782.75
27,7011.75
28,1310.1333333333334
29,7072.25
30,19599.941176470587
31,46.0
32,8999.5
33,20507.166666666668
34,3606.0
35,9801.3
36,6119.333333333332
37,15999.846153846154
38,831.6666666666665
39,569.3333333333334
40,29524.266666666666
41,3535.0
42,5274.909090909091
43,34989.294117647056
44,1423.3846153846155
45,19600.695652173912
46,51433.16666666666
47,5623.375
48,26251.5
49,49.0
50,2916.333333333333
51,1245.6666666666667
52,9871.833333333334
53,9400.0
54,10379.666666666666
55,6146.181818181818
56,4747.846153846154
57,7725.181818181818
58,5647.625
59,2148.6666666666665
60,16238.0
61,17318.066666666666
62,6857.5
63,7614.666666666668
64,1147.111111111111
65,4850.8
66,26288.777777777777
67,4513.9
68,19077.166666666668
69,5362.5
70,10472.611111111111
71,26080.8
72,4301.384615384615
73,1110.6666666666667
74,4446.9
75,8101.5
76,908.3333333333335
77,4023.6
78,1193.0
79,28802.5
80,16427.0
81,4271.375
82,7687.727272727273
83,20996.0
84,8970.09090909091
85,32735.0
86,44469.75
87,879.2
88,319.8
89,17689.55
90,10851.856224472396
91,509.75
92,13018.636363636364
93,1685.75
94,8530.5
95,18067.0
96,51133.076923076915
97,13318.0
98,1096.0
99,14281.2
