,concrete_score
0,0.9975
1,1.0
2,0.990625
3,0.9934615384615384
4,0.9628571428571427
5,0.997
6,0.9936363636363637
7,1.0
8,0.9872222222222222
9,1.0
10,1.0
11,0.96
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,0.9925
18,0.9972
19,0.995
20,0.996
21,0.99
22,0.9933333333333336
23,0.9911111111111109
24,1.0
25,1.0
26,0.99625
27,1.0
28,0.9973333333333334
29,0.98625
30,0.9829411764705884
31,0.86
32,1.0
33,0.9966666666666668
34,0.9953846153846156
35,0.997
36,0.9925
37,0.9988461538461538
38,0.99
39,0.9866666666666668
40,0.9973333333333334
41,0.9811111111111112
42,0.9890909090909092
43,0.986470588235294
44,0.993846153846154
45,0.9865217391304348
46,0.975
47,1.0
48,0.989
49,1.0
50,1.0
51,1.0
52,0.995
53,0.9854545454545456
54,0.995
55,0.9959090909090909
56,0.9969230769230769
57,1.0
58,0.99
59,0.9883333333333332
60,1.0
61,0.9973333333333334
62,0.98
63,1.0
64,0.9911111111111109
65,1.0
66,0.9938888888888888
67,0.993
68,1.0
69,0.9925
70,0.9966666666666666
71,0.998
72,0.9892307692307692
73,1.0
74,1.0
75,0.975
76,0.9866666666666668
77,0.9840000000000001
78,1.0
79,0.9933333333333336
80,1.0
81,0.9875
82,0.9927272727272728
83,0.997
84,1.0
85,0.96
86,0.995
87,1.0
88,1.0
89,0.993
90,0.9935030378951875
91,1.0
92,0.9963636363636365
93,0.993125
94,0.996
95,1.0
96,1.0
97,1.0
98,0.98
99,0.9946666666666668
