,dale_chall_score
0,4.798404761904762
1,4.588
2,4.662005263157893
3,5.0517259259259255
4,4.37846923076923
5,4.297491666666667
6,4.323808333333333
7,4.75482
8,4.255047619047619
9,4.065683333333333
10,4.609735294117646
11,4.119042857142857
12,4.678626315789474
13,4.711868421052632
14,4.311290909090909
15,4.0964857142857145
16,4.535429411764706
17,4.0964857142857145
18,4.501556666666667
19,4.1319875
20,4.6170222222222215
21,4.239518181818181
22,4.31065
23,4.282581818181818
24,5.172906896551724
25,4.0925125
26,4.188166666666667
27,3.874375
28,4.4893125
29,4.563294117647058
30,4.775847619047619
31,4.0424
32,4.856890909090909
33,4.775847619047619
34,4.653694736842105
35,4.250925
36,5.281064516129033
37,5.2352225806451615
38,4.1416
39,4.2408
40,4.990188
41,4.366323076923076
42,4.271175
43,5.327321875
44,4.366323076923076
45,5.224503333333333
46,4.75482
47,4.225163636363637
48,4.366323076923076
49,4.1912
50,4.0964857142857145
51,4.1714625
52,4.24303
53,4.432407142857143
54,4.296936363636363
55,5.029342307692307
56,4.14185625
57,4.3906153846153835
58,4.4549642857142855
59,4.205711111111111
60,4.253872727272727
61,4.866547826086956
62,4.01305
63,4.170622222222222
64,4.25882
65,3.960416666666666
66,5.265783870967741
67,4.22724
68,4.350125
69,3.953325
70,4.670315789473684
71,4.8134428571428565
72,4.485766666666667
73,4.2408
74,4.464713333333333
75,4.051371428571429
76,4.092
77,4.1319875
78,4.4392
79,5.448291176470589
80,4.4752399999999986
81,4.485766666666667
82,4.695247368421051
83,4.323808333333333
84,4.4752399999999986
85,4.223255555555555
86,4.4752399999999986
87,4.092
88,4.4888
89,4.892691666666666
90,3.8936
91,4.065683333333333
92,4.581870588235295
93,4.996504
94,4.2843333333333335
95,0.0496
96,4.7232400000000005
97,4.065683333333333
98,4.0424
99,4.4120800000000004
