,model,accuracy,f1 score,feat
0,MLP,60.65000000000001,61.96230062832285,glove_simplefeat
1,SVM,62.15000000000001,57.01306076093129,glove_simplefeat
2,RandomForest,68.4,68.92822025565388,glove_simplefeat
3,MLP,60.1,58.56697819314642,glove
4,SVM,56.05,59.66039467645709,glove
5,RandomForest,64.75,66.12205670350792,glove
6,MLP,65.55,66.79518072289157,simplefeat
7,SVM,65.2,63.900414937759344,simplefeat
8,RandomForest,67.10000000000001,68.21256038647343,simplefeat
9,MLP,57.25,58.595641646489106,tfidf
10,SVM,57.8,58.546168958742626,tfidf
11,RandomForest,60.7,58.14696485623004,tfidf
